Month,Day,Text
May,22,"['22', 'Fr', 'E', '3/4', '3/4', '2', '1']"
May,23,"['23', 'Sa']"
May,24,"['24', 'So', 'Pfingstsonntag']"
May,25,"['25', 'Mo', 'Pfingstmontag']"
May,26,"['26', 'Di', 'A', '1/2', '1/2', '3', '4']"
May,27,"['27', 'Mi', 'B', '1/2', '1/2', '3', '4']"
May,28,"['28', 'Do', 'C', '1/2', '1/2', '3', '4']"
May,29,"['29', 'Fr', 'D', '1/2', '1/2', '3', '4']"
May,30,"['30', 'Sa', 'E', '1/2', '1/2', '3', '4']"
May,31,"['31', 'Sonntag']"
Jun,1,"['1', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jun,2,"['2', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jun,3,"['3', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Jun,4,"['4', 'Do', 'Fronleichnam']"
Jun,5,"['5', 'Fr', 'D', '3/4', '3/4', '1', '2']"
Jun,6,"['6', 'Sa', 'E', '3/4', '3/4', '1', '2']"
Jun,7,"['7', 'Sonntag']"
Jun,8,"['8', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Jun,9,"['9', 'Di', 'B', '1/2', '1/2', '4', '3']"
Jun,10,"['10', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Jun,11,"['11', 'Do', 'D', '1/2', '1/2', '4', '3']"
Jun,12,"['12', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Jun,13,"['13', 'Sa']"
Jun,14,"['14', 'Sonntag']"
Jun,15,"['15', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Jun,16,"['16', 'Di', 'B', '3/4', '3/4', '2', '1']"
Jun,17,"['17', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Jun,18,"['18', 'Do', 'D', '3/4', '3/4', '2', '1']"
Jun,19,"['19', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Jun,20,"['20', 'Sa']"
Jun,21,"['21', 'Sonntag']"
Jun,22,"['22', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Jun,23,"['23', 'Di', 'B', '1/2', '1/2', '3', '4']"
Jun,24,"['24', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Jun,25,"['25', 'Do', 'D', '1/2', '1/2', '3', '4']"
Jun,26,"['26', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Jun,27,"['27', 'Sa', 'Problemmüllsammlung']"
Jun,28,"['28', 'Sonntag']"
Jun,29,"['29', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jun,30,"['30', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jun,31,[]
